Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Logo,Metadata
Google,google,693647c620099380bbf189f2,693647c671a7628e57b51dfd,6936499948580ea172561590,false,false,Mon Dec 08 2025 03:44:25 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:44:36 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:59:33 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/693647c671a7628e57b51dfe/6936498e4a22b0bc0b39fb6b_Google-analytics.svg,
Magneto,magneto,693647c620099380bbf189f2,693647c671a7628e57b51dfd,693649889fc8130fbb5112b8,false,false,Mon Dec 08 2025 03:44:08 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:44:36 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:59:33 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/693647c671a7628e57b51dfe/693649835ed33655d4b26b10_Magento.svg,
Mailchip,mailchip,693647c620099380bbf189f2,693647c671a7628e57b51dfd,6936497b7426887369eeb84d,false,false,Mon Dec 08 2025 03:43:55 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:44:36 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:59:33 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/693647c671a7628e57b51dfe/69364975cc416e0f2807435d_mailchimp.svg,
Paypal,paypal,693647c620099380bbf189f2,693647c671a7628e57b51dfd,6936496e72af76ad83e73d53,false,false,Mon Dec 08 2025 03:43:42 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:44:36 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:59:33 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/693647c671a7628e57b51dfe/693649682f6a26069ecade03_paypal.svg,
Shopify,shopify,693647c620099380bbf189f2,693647c671a7628e57b51dfd,6936495cb86a13d02f162570,false,false,Mon Dec 08 2025 03:43:24 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:44:36 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:59:33 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/693647c671a7628e57b51dfe/69364957df707356c290bf03_Shopify.svg,
Stripe,stripe,693647c620099380bbf189f2,693647c671a7628e57b51dfd,6936493220099380bbf1b5d5,false,false,Mon Dec 08 2025 03:42:42 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:44:36 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:59:33 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/693647c671a7628e57b51dfe/6936492e2155fc087342d759_stripe.svg,
Webflow,webflow,693647c620099380bbf189f2,693647c671a7628e57b51dfd,69364927cf47d76c7ff626c7,false,false,Mon Dec 08 2025 03:42:31 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:44:36 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:59:33 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/693647c671a7628e57b51dfe/6936491fc2a9c19c3430db90_Webflow.svg,
Woocommerce,woocommerce,693647c620099380bbf189f2,693647c671a7628e57b51dfd,6936493ecf47d76c7ff62893,false,false,Mon Dec 08 2025 03:42:54 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:44:36 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:59:33 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/693647c671a7628e57b51dfe/6936493795b35282fddcd674_woocommerce.svg,
Wordpress,wordpress,693647c620099380bbf189f2,693647c671a7628e57b51dfd,6936494e791e5f53f21ec24c,false,false,Mon Dec 08 2025 03:43:10 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:44:36 GMT+0000 (Coordinated Universal Time),Mon Dec 08 2025 03:59:33 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/693647c671a7628e57b51dfe/6936494969edf89081ef9102_wordpress.svg,
